Manufacturer,Horsepower,Acceleration,Weight,Cylinders,MPG
amc,116.8571429,15.11724138,3300.275862,6.413793103,18.24642857
audi,86.71428571,15.94285714,2556.142857,4.285714286,26.71428571
bmw,111.5,12.65,2417,4,23.75
buick,125.8571429,14.8,3295.619048,6,20.43333333
cadillac,152.5,14.75,4140,8,19.75
capri,92,14.9,2572,4,25
chevrolet,115.6875,15.31666667,3334.5625,6.208333333,20.21914894
chrysler,153.6666667,13.3,3912,7,17.26666667
citroen,115,17.5,3090,4,#DIV/0!
datsun,83.82608696,16.40869565,2242.217391,4.260869565,31.11304348
dodge,117.1785714,14.46071429,3206.25,6,22.06071429
fiat,73.375,15.65,2143.125,4,28.9125
ford,113.6,15.15660377,3316.018868,6.150943396,19.69411765
hi,193,18.5,4732,8,9
honda,67.84615385,15.99230769,2023.384615,4,33.76153846
mazda,77.66666667,16.09166667,2235.083333,3.666666667,30.05833333
mercedes,88,19.53333333,3533.333333,5,23.96666667
mercury,119.8181818,14.96363636,3428.545455,6.545454545,19.11818182
nissan,88,14.5,2160,4,36
oldsmobile,122,16.02,3575.9,7.2,21.1
peugeot,88,19.55,2972.75,4.25,23.6875
plymouth,113.40625,14.715625,3248.5625,6.0625,21.70322581
pontiac,136.9375,14.08125,3655.3125,6.25,20.0125
renault,70,17,2074.2,4,32.88
saab,109,15.22,2660.2,4,23.9
subaru,73.5,16.925,2146.5,4,30.525
toyota,83.96153846,16.03846154,2309.038462,4.230769231,28.16538462
triumph,88,15.1,2500,4,35
volvo,104.1666667,15.56666667,3032.666667,4.666666667,21.11666667
vw,63.43478261,17.5173913,2042.869565,4,31.84090909
Grand Total,105.0825,15.51970443,2979.413793,5.475369458,23.51457286
